,Objective,Time,Ratio
0,6646380.336606099,30,1.0018648509329473
1,6682824.405171169,23,1.0073583721386534
2,6669656.909060521,20,1.0053735246186586
3,6671873.517783994,24,1.0057076527088145
4,6654027.585849216,35,1.0030175851785044
5,6652199.480425053,34,1.0027420194606982
6,6691261.903011857,26,1.00863022720687
7,6634008.898921764,32,1.0
8,6635635.470044289,32,1.0002451867561994
9,6639370.794900703,39,1.0008082437121557
10,6679733.593215388,22,1.0068924680370952
11,6669224.234912376,25,1.0053083040024766
12,6673074.118480012,31,1.0058886293572198
13,6680056.8667836655,32,1.0069411977830456
14,6669616.887889679,28,1.005367491890718
15,6656507.179329583,38,1.0033913551746179
16,6668984.751297417,32,1.0052722046214526
17,6696604.673249124,30,1.0094355879350017
18,6668793.998855192,38,1.0052434509002666
19,6683568.066416346,32,1.0074704704575594
20,6663962.17476848,35,1.0045151093860583
21,6680436.540182471,37,1.0069984291501708
22,6693439.122728788,37,1.0089584178605313
23,6672004.901276032,36,1.0057274572484285
24,6663058.014497158,32,1.004378817698016
25,6697835.694667839,31,1.0096211501549914
26,6674702.431399319,34,1.0061340786691089
27,6665160.242696991,29,1.004695704249099
28,6698190.85379744,36,1.009674686279982
29,6654474.120265976,32,1.003084895069637
30,6684798.248248555,34,1.0076559061196082
31,6656963.9650356565,31,1.0034602103288741
32,6699784.049059092,34,1.009914842011746
33,6641113.555635221,32,1.0010709447065427
34,6687795.721714764,32,1.008107740525
35,6691792.487952398,27,1.0087102067409082
36,6668841.317706048,43,1.0052505836689403
37,6691331.563899317,45,1.0086407277787748
38,6670089.323620538,38,1.0054387061049372
39,6662602.748215762,34,1.0043101915794301
40,6694858.556874688,35,1.0091723811167654
41,6652935.009220199,41,1.00285289190696
42,6653531.183218201,29,1.0029427582316945
43,6690261.826609468,36,1.0084794772730628
44,6695781.017227616,27,1.0093114313301406
45,6666347.029986619,31,1.004874598686491
46,6703907.676744321,32,1.010536431121447
47,6670412.870086192,36,1.0054874769870061
48,6655820.958492077,25,1.0032879153318377
49,6683903.6915081255,21,1.0075210620526105
50,6682975.225076536,33,1.0073811064924454
51,6654934.897328177,38,1.0031543518745978
52,6677641.83663562,30,1.0065771599614446
53,6677690.19075976,31,1.0065844487855744
54,6653992.507935059,35,1.0030122975892515
55,6686449.568975717,34,1.0079048235920327
56,6662806.0039370535,31,1.0043408300251104
57,6669192.903130599,33,1.0053035810992887
58,6662003.886365699,33,1.0042199200921307
59,6682221.660446776,30,1.007267515353024
60,6703985.856602029,34,1.0105482158294419
61,6697016.89147793,33,1.0094977250582837
62,6668842.667041265,29,1.0052507870655951
63,6675221.228245285,28,1.006212281284431
64,6670728.606193104,32,1.005535070547962
65,6668969.284707065,34,1.005269873212106
66,6659149.072288187,33,1.0037895899371658
67,6646219.182876416,28,1.001840558874836
68,6642060.940266141,31,1.001213751966128
69,6663617.32843759,33,1.0044631277960205
70,6681624.594473107,28,1.0071775145732893
71,6677710.2962017525,25,1.006587479448074
72,6672894.06553188,33,1.0058614884608363
73,6645514.875862655,32,1.0017343927504772
74,6659197.086988411,34,1.003796827597072
75,6659353.69465873,29,1.0038204343893908
76,6679493.272726119,31,1.0068562425069625
77,6700211.414251111,38,1.0099792623642858
78,6668318.157015066,41,1.0051717232545283
79,6658318.932998912,31,1.0036644560547845
80,6663625.984951524,36,1.0044644326652281
81,6656834.224386452,45,1.0034406534287883
82,6675273.989127021,42,1.0062202343762252
83,6655264.775816796,35,1.0032040772357853
84,6676011.219272006,31,1.0063313632812685
85,6666674.534282241,33,1.0049239661655844
86,6645492.597553941,29,1.0017310345534876
87,6669884.077364091,33,1.0054077676091386
88,6669158.655306063,36,1.0052984186364313
89,6667518.247470506,35,1.0050511461560125
90,6689533.524038791,33,1.0083696940964386
91,6663215.984733836,28,1.0044026298814308
92,6642439.661139822,30,1.0012708397511236
93,6644419.667180954,34,1.0015693027274777
94,6668187.985099007,27,1.0051521013459597
95,6668744.854221968,30,1.0052360429160487
96,6667889.772083066,30,1.0051071491879984
97,6671361.469744569,19,1.005630467397907
98,6683296.866779423,19,1.0074295902535901
99,6667198.04228408,22,1.0050028789330852
