,Objective,Time,Ratio
0,53371856.261506975,22,1.0000000000001634
1,53371856.261512615,18,1.0000000000002691
2,53371856.261503,25,1.000000000000089
3,53371856.26150558,25,1.0000000000001374
4,53371856.26151943,19,1.0000000000003968
5,53371856.261512205,26,1.0000000000002616
6,53371856.26150044,26,1.000000000000041
7,53371856.26151035,22,1.0000000000002267
8,53371856.26150257,25,1.000000000000081
9,53371856.26150185,25,1.0000000000000675
10,53371856.26151355,21,1.0000000000002867
11,53371856.261503,21,1.000000000000089
12,53371856.2615073,26,1.0000000000001696
13,53371856.26151926,28,1.0000000000003937
14,53371856.26150867,21,1.0000000000001954
15,53371856.26150892,28,1.0000000000001998
16,53371856.26150539,24,1.0000000000001337
17,53371856.261511765,30,1.0000000000002531
18,53371856.26151586,23,1.00000000000033
19,53371856.261503,27,1.000000000000089
20,53371856.26151397,27,1.0000000000002947
21,53371856.261510484,26,1.0000000000002292
22,53371856.26151466,30,1.0000000000003075
23,53371856.261503,27,1.000000000000089
24,53371856.26150665,27,1.0000000000001574
25,53371856.261514924,29,1.0000000000003124
26,53371856.26151093,35,1.0000000000002376
27,53371856.26150299,25,1.0000000000000888
28,53371856.261499986,26,1.0000000000000324
29,53371856.261506066,31,1.0000000000001463
30,53371856.26150354,26,1.000000000000099
31,53371856.26150517,25,1.0000000000001297
32,53371856.26151214,25,1.0000000000002602
33,53371856.26150699,25,1.0000000000001636
34,53371856.2615016,25,1.0000000000000628
35,53371856.261509344,26,1.0000000000002078
36,53371856.26151016,18,1.0000000000002232
37,53371856.26150751,29,1.0000000000001734
38,53371856.261510655,27,1.0000000000002325
39,53371856.261517815,25,1.0000000000003666
40,53371856.26151111,29,1.000000000000241
41,53371856.26151848,21,1.000000000000379
42,53371856.261501916,27,1.0000000000000686
43,53371856.26150176,24,1.0000000000000657
44,53371856.261498444,24,1.0000000000000036
45,53371856.26151919,25,1.0000000000003924
46,53371856.26150443,32,1.0000000000001157
47,53371856.2615065,26,1.0000000000001545
48,53371856.26150916,27,1.0000000000002043
49,53371856.261503,20,1.000000000000089
50,53371856.26151277,22,1.000000000000272
51,53371856.26151625,27,1.0000000000003373
52,53371856.26150978,25,1.000000000000216
53,53371856.261518925,24,1.0000000000003875
54,53371856.261521325,26,1.0000000000004323
55,53371856.26150411,25,1.00000000000011
56,53371856.261506245,22,1.0000000000001499
57,53371856.261503,28,1.000000000000089
58,53371856.26149825,21,1.0
59,53371856.261503525,22,1.0000000000000988
60,53371856.26150196,23,1.0000000000000695
61,53371856.26150731,24,1.0000000000001696
62,53371856.261506364,26,1.000000000000152
63,53371856.26150876,26,1.000000000000197
64,53371856.261502296,27,1.0000000000000757
65,53371856.26150293,27,1.0000000000000877
66,53371856.261508346,29,1.0000000000001892
67,53371856.261511005,28,1.000000000000239
68,53371856.261503,25,1.000000000000089
69,53371856.26151926,22,1.0000000000003937
70,53371856.26150582,22,1.0000000000001419
71,53371856.26151316,25,1.0000000000002793
72,53371856.26151507,27,1.0000000000003153
73,53371856.26151497,27,1.0000000000003133
74,53371856.26151107,27,1.0000000000002403
75,53371856.26151818,32,1.0000000000003735
76,53371856.26150633,28,1.0000000000001514
77,53371856.26150907,27,1.0000000000002027
78,53371856.2615107,30,1.0000000000002334
79,53371856.261503,31,1.000000000000089
80,53371856.26150611,23,1.0000000000001472
81,53371856.26151435,29,1.0000000000003018
82,53371856.26151037,26,1.0000000000002272
83,53371856.261514835,19,1.0000000000003106
84,53371856.261515185,26,1.0000000000003173
85,53371856.26150964,27,1.0000000000002134
86,53371856.261503,28,1.000000000000089
87,53371856.26151385,28,1.0000000000002922
88,53371856.26151558,29,1.0000000000003246
89,53371856.261503,24,1.000000000000089
90,53371856.2615043,25,1.0000000000001132
91,53371856.26151087,25,1.0000000000002365
92,53371856.26150557,33,1.000000000000137
93,53371856.2615071,23,1.0000000000001659
94,53371856.261503,25,1.000000000000089
95,53371856.26151098,22,1.0000000000002385
96,53371856.26150355,24,1.0000000000000993
97,53371856.261516534,22,1.0000000000003426
98,53371856.26151591,22,1.0000000000003308
99,53371856.26150976,22,1.0000000000002156
