,Objective,Time,Ratio
0,6663440.803357278,19,1.0040618216060653
1,6706023.081502623,36,1.0104782123303904
2,6660089.6837290935,37,1.00355686757742
3,6664526.5069517065,30,1.0042254177962193
4,6665427.242902615,22,1.004361142657645
5,6695060.878654435,41,1.008826403649953
6,6649350.665882998,38,1.0019386889008153
7,6660440.7116705915,44,1.0036097612347326
8,6681814.8630735725,37,1.0068304650762294
9,6669737.340687827,39,1.0050105976106087
10,6687449.657645249,47,1.0076795282357855
11,6661723.397223461,42,1.0038030390968413
12,6645191.502289531,39,1.0013119770416943
13,6684015.432080394,26,1.0071620516229947
14,6653573.422207648,29,1.0025749830516375
15,6637708.817169559,36,1.0001844696961983
16,6643054.601618398,40,1.0009899841788827
17,6670536.157312948,33,1.0051309650453046
18,6672664.283322323,37,1.0054516357229077
19,6694798.733988823,41,1.008786903118884
20,6645960.376648951,34,1.0014278327103627
21,6648242.988130918,44,1.001771781596567
22,6669185.18162608,33,1.004927397076573
23,6657605.966437896,29,1.0031826156284123
24,6686873.822962121,33,1.0075927602073829
25,6685923.7432058845,38,1.0074496001135411
26,6661208.895011883,36,1.0037255127792792
27,6645068.426235764,40,1.0012934316729594
28,6656154.433580129,40,1.002963895485426
29,6695992.062372529,41,1.0089667164474747
30,6694490.879097996,36,1.008740514871191
31,6654032.104396531,34,1.0026440982861986
32,6651166.995738652,33,1.0022123774526195
33,6656536.9915786525,36,1.0030215401606324
34,6683440.421228104,39,1.007075407731223
35,6669262.372053217,36,1.0049390282988153
36,6646803.0002865,32,1.001554801081421
37,6680616.635357813,37,1.0066499135055789
38,6670564.905826985,33,1.0051352969342229
39,6677565.558110976,41,1.0061901705186258
40,6674081.706924956,40,1.005665216208793
41,6672535.668781076,38,1.0054322558027762
42,6682452.845982535,34,1.006926597735111
43,6708775.561319232,39,1.0108929620040434
44,6674341.5114766415,46,1.0057043641263814
45,6693845.774833057,39,1.008643309150829
46,6658805.213257856,39,1.0033633207599109
47,6676706.06206701,32,1.006060659776498
48,6636484.586873994,40,1.0
49,6652547.380358597,42,1.0024203768236535
50,6667308.415739475,40,1.0046446018915565
51,6674658.4272654615,34,1.0057521176899844
52,6667956.905475825,30,1.004742317742149
53,6664241.637075477,39,1.0041824929807541
54,6662578.502752352,37,1.003931888266563
55,6698555.589585436,35,1.009352994329891
56,6662909.928091566,38,1.003981828160927
57,6639357.966834423,32,1.0004329671715222
58,6653922.757337036,36,1.002627621632322
59,6704232.716241396,35,1.0102084361804136
60,6671191.428445835,41,1.0052297027315464
61,6655004.344665112,45,1.0027905975744669
62,6673974.3425885355,30,1.0056490383159618
63,6671709.711510801,39,1.0053077987563592
64,6647753.62051913,30,1.0016980426154267
65,6658831.815197303,34,1.003367329198279
66,6696908.401330701,36,1.0091047924041316
67,6661202.220004138,37,1.0037245069745255
68,6689993.61424056,37,1.0080628571747758
69,6670574.568034803,41,1.0051367528568111
70,6663229.606842008,41,1.004029998053625
71,6678335.183399324,37,1.0063061393389061
72,6693175.613698226,40,1.0085423278065557
73,6667418.662795419,33,1.0046612141588647
74,6649636.445418129,29,1.0019817507856714
75,6663651.25900399,40,1.0040935335228123
76,6693013.603552604,40,1.008517915763779
77,6677760.309435388,36,1.0062195160737706
78,6691424.422256627,40,1.0082784544533254
79,6667257.052716392,41,1.0046368623989967
80,6702609.04770122,33,1.0099637782566406
81,6690447.946214204,38,1.0081313169093982
82,6696414.033457038,37,1.0090302999726053
83,6680068.22863961,37,1.0065672783828683
84,6692374.623036007,40,1.008421632783199
85,6664228.074993541,44,1.0041804494166113
86,6640321.215465172,33,1.0005781115801529
87,6652261.143902077,32,1.0023772460888838
88,6672096.061044603,37,1.005366014748387
89,6652207.110094202,36,1.002369104156635
90,6636751.187251935,29,1.0000401719275394
91,6699644.949005164,32,1.0095171413877901
92,6682300.021518185,37,1.0069035698108615
93,6678844.908226697,30,1.0063829457897764
94,6648323.089139357,45,1.0017838513915602
95,6665208.9345354345,44,1.0043282474758177
96,6670515.240237139,40,1.0051278132146126
97,6684294.884374355,37,1.0072041601053248
98,6688972.420638259,33,1.0079089814912066
99,6666262.07760181,31,1.0044869373744514
