,Objective,Time,Ratio
0,33321675.13721818,26,1.000000000000207
1,33321675.137227885,22,1.0000000000004983
2,33321675.137226798,23,1.0000000000004656
3,33321675.137225408,23,1.0000000000004239
4,33321675.137225732,31,1.0000000000004337
5,33321675.13722399,29,1.0000000000003813
6,33321675.13722593,31,1.0000000000004394
7,33321675.137224317,27,1.000000000000391
8,33321675.137226846,31,1.000000000000467
9,33321675.13722594,30,1.0000000000004399
10,33321675.13721818,33,1.000000000000207
11,33321675.137223743,29,1.000000000000374
12,33321675.137222767,26,1.0000000000003446
13,33321675.13721818,30,1.000000000000207
14,33321675.13721818,28,1.000000000000207
15,33321675.137216885,31,1.000000000000168
16,33321675.13722225,33,1.000000000000329
17,33321675.13722288,30,1.000000000000348
18,33321675.137217123,22,1.0000000000001752
19,33321675.137222763,36,1.0000000000003444
20,33321675.137227584,31,1.0000000000004892
21,33321675.13722678,36,1.000000000000465
22,33321675.1372151,27,1.0000000000001146
23,33321675.137219377,31,1.000000000000243
24,33321675.137223706,33,1.0000000000003728
25,33321675.13722159,34,1.0000000000003093
26,33321675.13722091,33,1.0000000000002889
27,33321675.13722551,32,1.0000000000004268
28,33321675.137224875,27,1.000000000000408
29,33321675.13722092,26,1.000000000000289
30,33321675.137218237,30,1.0000000000002087
31,33321675.137221247,26,1.0000000000002989
32,33321675.13722005,28,1.0000000000002631
33,33321675.137229078,35,1.000000000000534
34,33321675.1372228,28,1.0000000000003455
35,33321675.13722714,28,1.0000000000004758
36,33321675.137227476,31,1.0000000000004858
37,33321675.137222357,32,1.0000000000003322
38,33321675.137220606,24,1.0000000000002798
39,33321675.137226664,32,1.0000000000004614
40,33321675.137220595,32,1.0000000000002793
41,33321675.137219615,32,1.00000000000025
42,33321675.137223635,25,1.0000000000003706
43,33321675.137230664,33,1.0000000000005815
44,33321675.13721818,37,1.000000000000207
45,33321675.13722632,25,1.0000000000004512
46,33321675.13721944,31,1.0000000000002447
47,33321675.137224328,32,1.0000000000003915
48,33321675.137222856,33,1.0000000000003473
49,33321675.1372253,32,1.0000000000004206
50,33321675.13721724,29,1.0000000000001787
51,33321675.137222826,28,1.0000000000003464
52,33321675.13721818,29,1.000000000000207
53,33321675.137221135,32,1.0000000000002955
54,33321675.13721595,28,1.0000000000001399
55,33321675.13722522,24,1.0000000000004183
56,33321675.13722359,25,1.0000000000003693
57,33321675.137221258,33,1.0000000000002993
58,33321675.13722024,25,1.0000000000002687
59,33321675.137224454,29,1.0000000000003952
60,33321675.137226302,25,1.0000000000004508
61,33321675.13721818,28,1.000000000000207
62,33321675.137219146,29,1.0000000000002358
63,33321675.137224384,24,1.000000000000393
64,33321675.137215145,22,1.000000000000116
65,33321675.13721818,32,1.000000000000207
66,33321675.137224704,29,1.0000000000004028
67,33321675.137225688,32,1.0000000000004323
68,33321675.137221936,29,1.0000000000003195
69,33321675.137223806,32,1.0000000000003757
70,33321675.137223285,29,1.0000000000003602
71,33321675.137226686,29,1.000000000000462
72,33321675.137220025,24,1.0000000000002622
73,33321675.137222156,30,1.0000000000003262
74,33321675.137222774,27,1.0000000000003448
75,33321675.137218703,28,1.0000000000002225
76,33321675.13722264,27,1.0000000000003408
77,33321675.137225267,27,1.0000000000004197
78,33321675.13722664,32,1.0000000000004607
79,33321675.137219694,25,1.0000000000002522
80,33321675.13721818,25,1.000000000000207
81,33321675.137221824,32,1.0000000000003162
82,33321675.137224015,33,1.000000000000382
83,33321675.137222447,32,1.0000000000003348
84,33321675.13722425,28,1.000000000000389
85,33321675.137223817,32,1.0000000000003761
86,33321675.13722731,28,1.000000000000481
87,33321675.13722316,28,1.0000000000003564
88,33321675.137218483,25,1.000000000000216
89,33321675.13722014,27,1.0000000000002658
90,33321675.137227558,28,1.0000000000004883
91,33321675.137224875,28,1.000000000000408
92,33321675.137221977,35,1.0000000000003209
93,33321675.137233432,25,1.0000000000006646
94,33321675.13722376,28,1.0000000000003744
95,33321675.137229435,28,1.0000000000005447
96,33321675.13722189,29,1.0000000000003182
97,33321675.1372264,20,1.0000000000004536
98,33321675.13721846,20,1.0000000000002154
99,33321675.137211286,21,1.0
